@1, 522, 11894
@2 Ghost, 15325, 3152
@3 Ghost, 21751, 7210
@4, 31313, 16161
@5 ghost, 51026, 8081
@6, 71872, 11041
@7 ghost, 90001, 7297
@8, 98551, 7941
@9, 119972, 7680
@10 (legato), 127766, 16753
@11 (legato), 144631, 8916
@12, 173279, 10153
@13, 189806, 19367
@14 (legato), 209171, 24510
@15, 235092, 11235
