# Beat
A,           0, 12096
Ghost,   41987,  4510
D,       56842, 10136
E,       73561, 12887
G,      147731, 12643
C,      204504,  9892
D,      221396, 10658
# beat
A,      298945, 12748
Ghost,  336997,  3326
D,      357268,  9230
E,      374787, 10937
G,      411707, 34064
A,      450664, 10850
D,      506776,  9387
C,      523146, 12016



